"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\input-otp.tsx", "TypeScript JSX", -54, 0, 0, 0, -8, -62
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\input.tsx", "TypeScript JSX", -19, 0, 0, 0, -4, -23
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\label.tsx", "TypeScript JSX", -13, 0, 0, 0, -5, -18
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\menubar.tsx", "TypeScript JSX", -189, 0, 0, 0, -19, -208
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\navigation-menu.tsx", "TypeScript JSX", -109, 0, 0, 0, -12, -121
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\pagination.tsx", "TypeScript JSX", -71, 0, 0, 0, -11, -82
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\popover.tsx", "TypeScript JSX", -24, 0, 0, 0, -6, -30
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\progress.tsx", "TypeScript JSX", -20, 0, 0, 0, -4, -24
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\radio-group.tsx", "TypeScript JSX", -32, 0, 0, 0, -5, -37
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\resizable.tsx", "TypeScript JSX", -32, 0, 0, 0, -6, -38
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\scroll-area.tsx", "TypeScript JSX", -34, 0, 0, 0, -5, -39
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\select.tsx", "TypeScript JSX", -130, 0, 0, 0, -14, -144
