"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "JSON with Comments", "JSON", "SQLite", "Markdown", "Dotenv", "JavaScript", "HTML", "XML", "comment", "blank", "total"
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\AppLayout.tsx", "TypeScript JSX", 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 11, 240
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\CommandPalette.tsx", "TypeScript JSX", 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 163
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\DemoModeBar.tsx", "TypeScript JSX", 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 5, 125
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ErrorBoundary.tsx", "TypeScript JSX", 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14, 129
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\GlobalFAB.tsx", "TypeScript JSX", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 7
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\NotificationCenter.tsx", "TypeScript JSX", 0, 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 16, 184
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\PageHeader.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\cronograma\CurvaS.tsx", "TypeScript JSX", 0, 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 23, 202
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\cronograma\GanttCanvasPanel.tsx", "TypeScript JSX", 0, 607, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 89, 746
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\cronograma\TaskDetailDrawer.tsx", "TypeScript JSX", 0, 483, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 38, 534
